,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
22851,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,69,73,7,8.808510638297873,0,1,0.43,0.57
22862,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,88,62,7,9.10344827586207,0,1,0.36,0.64
22867,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,96,57,7,9.142857142857142,0,1,0.426,0.574
22868,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,97,56,7,9.09375,0,1,0.49,0.51
22917,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,165,8,2,8.839285714285714,0,1,0.23,0.77
23339,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,78,49,7,6.591549295774648,1,0,0.6,0.4
23378,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,143,12,7,7.944444444444445,1,0,0.6908333333333333,0.3091666666666667
23386,Mumbai Indians,Chennai Super Kings,Mumbai - Wankhede Stadium,161,4,6,8.327586206896552,1,0,0.8496666666666667,0.15033333333333332
23394,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata - Eden Gardens,6,119,10,36.0,0,1,0.38,0.62
23531,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,22,55,10,2.0307692307692307,1,0,0.91,0.09
23549,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,58,38,9,4.2439024390243905,1,0,0.8521904761904763,0.1478095238095238
23550,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,59,37,9,4.265060240963855,1,0,0.6913571428571427,0.3086428571428571
23586,Delhi Capitals,Kings XI Punjab,Delhi - Arun Jaitley Cricket Stadium,118,118,6,354.0,1,0,0.71,0.29
23648,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,1,114,10,1.0,1,0,0.74,0.26
23654,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,10,112,10,7.5,1,0,0.5633333333333332,0.4366666666666667
23658,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,15,108,10,7.5,1,0,0.5351666666666667,0.46483333333333327
23769,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,4,111,10,2.6666666666666665,0,1,0.24,0.76
23781,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,15,100,10,4.5,0,1,0.33,0.67
23802,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,35,119,8,210.0,0,1,0.43,0.57
23803,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,36,118,8,108.0,0,1,0.48,0.52
23807,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,41,114,8,41.0,0,1,0.39,0.61
23808,Delhi Capitals,Royal Challengers Bangalore,Delhi - Arun Jaitley Cricket Stadium,43,113,8,36.857142857142854,0,1,0.4,0.6
23932,Kolkata Knight Riders,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,44,78,8,6.285714285714286,1,0,0.68,0.32
23960,Kolkata Knight Riders,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,64,59,8,6.2950819672131155,1,0,0.87,0.13
23987,Kolkata Knight Riders,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,104,34,7,7.255813953488372,1,0,0.7743333333333333,0.2256666666666667
24419,Mumbai Indians,Kings XI Punjab,Mumbai - Wankhede Stadium,24,92,10,5.142857142857142,1,0,0.67,0.33
24905,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,24,0,7,1.2,1,0,0.58,0.42
24921,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,37,104,7,13.875,1,0,0.73,0.27
24960,Royal Challengers Bangalore,Kings XI Punjab,Bangalore - M Chinnaswamy Stadium,113,66,6,12.555555555555555,1,0,0.71,0.29
25101,Chennai Super Kings,Kolkata Knight Riders,Kolkata - Eden Gardens,79,53,6,7.074626865671642,0,1,0.12,0.88
25141,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,8,69,9,0.9411764705882353,1,0,0.81,0.19
25156,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,19,54,9,1.7272727272727273,1,0,0.73,0.27
25159,Mumbai Indians,Delhi Capitals,Mumbai - Wankhede Stadium,22,51,9,1.9130434782608696,1,0,0.7433333333333334,0.25666666666666665
25285,Chennai Super Kings,Rajasthan Royals,Jaipur - Sawai Mansingh Stadium,46,23,9,2.8453608247422677,1,0,0.95,0.05
25414,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,35,97,9,9.130434782608695,1,0,0.69,0.31
25417,Kings XI Punjab,Mumbai Indians,Mohali - IS Bindra Stadium,38,94,9,8.76923076923077,1,0,0.91,0.09
25515,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,6,116,10,9.0,0,1,0.326,0.674
25517,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,9,114,10,9.0,0,1,0.17483333333333334,0.8251666666666666
25538,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,31,95,10,7.4399999999999995,0,1,0.335,0.665
25573,Rajasthan Royals,Royal Challengers Bangalore,Jaipur - Sawai Mansingh Stadium,79,60,8,7.9,0,1,0.37,0.63
25641,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",8,105,10,3.2,1,0,0.83,0.17
25725,Chennai Super Kings,Delhi Capitals,"Chennai - MA Chidambaram Stadium, Chepauk",113,25,7,7.136842105263158,1,0,0.73,0.27
